This O
randomised O
non-inferiority O
trial O
was O
designed O
to O
assess O
whether O
radiosurgery O
plus O
adjuvant O
whole O
brain O
radiotherapy O
( O
RS O
+ O
WBRT O
) O
is O
as O
effective O
as O
surgery O
plus O
whole O
brain O
radiotherapy O
( O
S O
+ O
WBRT O
) O
for O
cancer O
patients O
with O
a O
solitary O
brain O
metastasis O
, O
with O
respect O
to O
overall O
survival O
and O
quality O
of O
life O
. O

The O
secondary O
endpoints O
were O
also O
not O
significantly O
different O
between O
the O
arms O
. O

To O
assess O
patient-reported O
prostate O
cancer-specific O
quality O
of O
life O
2 O
and O
3 O
years O
after O
radiotherapy O
to O
the O
prostate O
in O
a O
randomized O
dose-escalation O
trial O
of O
70 O
versus O
78 O
Gy O
conducted O
from O
1993 O
to O
1998 O
. O

If O
inoperable O
, O
optimal O
supportive O
care O
( O
OSC O
) O
, O
including O
steroids O
, O
and O
whole O
brain O
radiotherapy O
( O
WBRT O
) O
are O
generally O
considered O
to O
be O
standard O
care O
, O
although O
there O
is O
no O
randomised O
evidence O
demonstrating O
that O
the O
addition O
of O
WBRT O
to O
OSC O
improves O
survival O
or O
quality O
of O
life O
. O

Pretreatment O
characteristics O
were O
evenly O
distributed O
between O
the O
two O
arms O
. O

These B-Premise
benefits I-Premise
were I-Premise
seen I-Premise
with I-Premise
no I-Premise
increase I-Premise
in I-Premise
anxiety I-Premise
levels I-Premise
in I-Premise
the I-Premise
sentinel I-Premise
lymph I-Premise
node I-Premise
biopsy I-Premise
group I-Premise
( I-Premise
P I-Premise
> I-Premise
.05 I-Premise
) I-Premise
. I-Premise

After B-Premise
radiotherapy I-Premise
and I-Premise
at I-Premise
3 I-Premise
months I-Premise
, I-Premise
rates I-Premise
of I-Premise
anorexia I-Premise
, I-Premise
nausea I-Premise
, I-Premise
vomiting I-Premise
, I-Premise
and I-Premise
diarrhea I-Premise
were I-Premise
higher I-Premise
in I-Premise
G3 I-Premise
( I-Premise
P I-Premise
< I-Premise
.05 I-Premise
) I-Premise
. I-Premise

19 B-Premise
( I-Premise
34 I-Premise
% I-Premise
) I-Premise
patients I-Premise
in I-Premise
the I-Premise
open I-Premise
oesophagectomy I-Premise
group I-Premise
had I-Premise
pulmonary I-Premise
infection I-Premise
in-hospital I-Premise
compared I-Premise
with I-Premise
seven I-Premise
( I-Premise
12 I-Premise
% I-Premise
) I-Premise
in I-Premise
the I-Premise
minimally I-Premise
invasive I-Premise
group I-Premise
( I-Premise
0·35 I-Premise
, I-Premise
0·16-0·78 I-Premise
";" I-Premise
p=0·005 I-Premise
) I-Premise
. I-Premise

Treatment B-Claim
with I-Claim
PB+G I-Claim
increased I-Claim
the I-Claim
incidence I-Claim
of I-Claim
severe I-Claim
neutropenia I-Claim
and I-Claim
dyspnea I-Claim
, I-Claim
although B-Claim
the I-Claim
regimen I-Claim
generally I-Claim
was I-Claim
well I-Claim
tolerated I-Claim
. I-Claim

Breast B-Premise
pain I-Premise
was I-Premise
more I-Premise
frequent I-Premise
in I-Premise
group I-Premise
1 I-Premise
than I-Premise
in I-Premise
groups I-Premise
2 I-Premise
and I-Premise
3 I-Premise
( I-Premise
58 I-Premise
% I-Premise
vs I-Premise
7 I-Premise
% I-Premise
and I-Premise
30 I-Premise
% I-Premise
, I-Premise
respectively I-Premise
) I-Premise
. I-Premise

Median B-Premise
survival I-Premise
time I-Premise
was I-Premise
53.6 I-Premise
months I-Premise
for I-Premise
women I-Premise
with I-Premise
decreasing I-Premise
CES-D I-Premise
scores I-Premise
over I-Premise
1 I-Premise
year I-Premise
and I-Premise
25.1 I-Premise
months I-Premise
for I-Premise
women I-Premise
with I-Premise
increasing I-Premise
CES-D I-Premise
scores I-Premise
. I-Premise

In B-Claim
advanced I-Claim
pancreatic I-Claim
carcinomas I-Claim
with I-Claim
a I-Claim
poor I-Claim
prognosis I-Claim
, I-Claim
FUP I-Claim
was I-Claim
superior I-Claim
to I-Claim
FU I-Claim
in I-Claim
terms I-Claim
of I-Claim
response I-Claim
and I-Claim
progression-free I-Claim
survival I-Claim
, I-Claim
but I-Claim
not I-Claim
in I-Claim
terms I-Claim
of I-Claim
overall I-Claim
survival I-Claim
. I-Claim

No B-Claim
appreciable I-Claim
advantage I-Claim
to I-Claim
QoL I-Claim
with I-Claim
TMX I-Claim
was I-Claim
observed I-Claim
. I-Claim

A B-Claim
significant I-Claim
immediate I-Claim
and I-Claim
insignificant I-Claim
long-term I-Claim
effect I-Claim
on I-Claim
limb I-Claim
volume I-Claim
was I-Claim
noted I-Claim
. I-Claim

